queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,"{0.105662765,0.12723943,0.121195215,0.108269309,0.115890087,0.125638178,0.131961943,0.130085662,0.123430985}","{0.089259995,0.131719988,0.100673209}","{0.031407604,0.030056489,0.029714686,0.030680056,0.030553503,0.031643332,0.032770836,0.028785969,0.029506861}","{0.013964217,0.011792139,0.015770152}","{1.4500261690632636,0,0,0,0,0,0,0,0}","{1.1824487410687112,1.1903124723701435,1.1776882269701157}",9,3
-6651533820180303979,"{0.266404082,0.318934604,0.295890205,0.26551564,0.302436415,0.301420834,0.279675212,0.308922504,0.300116536}","{0.409757915,1.964242812,0.374034909}","{0.029676416,0.032906678,0.033926017,0.033050055,0.034659713,0.034084523,0.036375314,0.033702439,0.032461458}","{0.0222384,0.02867372,0.018353786}","{0.7257946945250386,0.20506718324030263,0,0,0,0,0,0,0}","{0.7110350415064464,0.6622139537460571,0.7097447244128476}",9,3
-3414057395363075461,"{0.195566013,0.197697876,0.169770884,0.176334278,0.175120221,0.177376572,0.173408818,0.201177162,0.176003446}","{0.177465398,0.162668753,0.168066942}","{0.017415423,0.018718208,0.015661045,0.015583921,0.015762718,0.01600864,0.017320122,0.018561515,0.015071306}","{0.008501932,0.009326489,0.008628412}","{1.2174700005529062,0.0901033573573699,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423}","{0.936515385040697,0.9142991861305755,0.9535934648818055}",9,3
3350265702090035455,"{50.738227363,74.303097237,100.927331499,126.051424097,184.232350495,10.93721247,11.321129789,11.087106891,11.068830997}","{55.482810873,63.287769991,49.566358756}","{0.055494469,0.059850303,0.058596195,0.058417698,0.057300986,0.0639997,0.059350134,0.060722578,0.06624476}","{0.031860277,0.034561482,0.028080711}","{3.3374510284808725,1.7162104431712808,1.950949255820369,1.6409808871914573,1.3433765020887711,0.006543555303668569,0.006543501980910212,0.006543501980910212,0.006543501980910212}","{3.329696481697031,3.3198284019547013,3.323802846442218}",9,3
-917204397272063480,"{29.881458319,28.732112791,20.832292041,72.869537849,6.073895381,5.856815862,5.838148655,5.975344514,6.03483067}","{29.259874893,43.092856134,28.442776082}","{0.02913733,0.03191713,0.036915845,0.032552942,0.038156897,0.034190916,0.029387752,0.033552219,0.032564034}","{0.01694399,0.018380046,0.016774795}","{3.24980586129619,1.4692319016078967,1.8622398899191588,1.01782245134524,0.08392225081619026,0.07946027465286959,0.07617004131003072,0.07445760542327357,0.05875045365571693}","{3.257957765002839,3.252822140158688,3.261134241011108}",9,3
1693774000992751456,"{0.066644399,0.232885755,0.708665817,0.217815992,0.101019843,0.33027055,0.04682552,0.204359926,0.653139931}","{0.051765821,0.054569113,0.101097844}","{5.458814936,5.5210752450000005,5.621212553,5.628842219,5.464803407,5.720053159,5.378082644,5.594218617,5.559819224}","{0.32519249,0.344792523,0.37468832}","{1.3473218060524401,1.550229984607559,1.8381502436408712,1.119089027573323,0.631685808737329,1.2377825785763452,0.3636678661222973,0.9874511603311323,1.33326747218599}","{1.3473218060524401,1.3471197849599656,1.869219181199266}",9,3
3759324545287071861,"{0.037615383,0.050232312,0.032275025,0.044873847,0.044483296,0.035737008,0.040468278,0.047401321,0.036696487,0.039639301,0.04361004,0,0.035515304,0.047842212,0.05402205,0.033204874,0.039794411,0.045822835,0.037269141}","{0.055353854,0.01640586,0.037910094,0.047475737,0.020169307,0.035028178,0.040246132,0.01908664,0.037153349}","{0.012143782,0.01189784,0.011660225,0.012686828,0.011859574,0.013926447,0.015816716,0.012040937,0.01092225,0.015151396,0.01241292,0,0.0112422,0.014086708,0.01252267,0.013182329,0.034804613,0.011499273,0.012292589}","{0.008855593,0.007708696,0.008159928,0.008849653,0.007447714,0.008444516,0.007945059,0.0093415,0.007898731}","{0.010593983295995651,0.00968031640022274,0.008757373539857515,0.00782496443374938,0.006882892885063315,0.005930956533491011,0.005930956533491011,0.00496894659435129,0.00496894659435129,0.003996647583737876,0.003996647583737876,0,0.003013837028809166,0.003013837028809166,0.003013837028809166,0.002020285162246373,0.002020285162246373,0.002020285162246373,0.002020285162246373}","{0.9665923810539927,1.0910626829030636,0.8703995694800497,0.964618310368159,1.094359073466912,0.8664491363727245,0.9611873714606275,1.094359073466912,0.8664491363727245}",27,9
816913887554954199,"{0.530942573,3.395239219,0.583499893,6.353879322,0.496177628,6.291088358,0.506648185,72.186349004,0.563413629,20.680067311,0.462112072,3.632812923,0.46525653,3.378194433,0.481136403,3.461698072,0.499256946,3.392864657}","{0.515512615,3.633896704,0.717527199,4.214152529,0.462927557,3.467738733}","{0.052139028,0.059813392,0.056819152,0.058181296,0.055370416,0.058270254,0.051487702,0.067481993,0.058871326,0.059456676,0.058940604,0.053689455,0.052631529,0.055366858,0.054460516,0.081651125,0.071613254,0.05447225}","{0.037016565,0.03935556,0.034284576,0.031177597,0.027859575,0.051969278}","{1.7212734300355776,1.9313213300858472,0.406892181874426,1.3598577501493785,0.016342184067853052,0.9898091172017494,0.01992765746438478,1.838959284616283,0.02329569200974228,1.439831016019605,0.02329569200974228,0.0687442451196662,0.02329569200974228,0.0687442451196662,0.026471159445294965,0.0687442451196662,0.026471159445294965,0.0687442451196662}","{1.7118613104823526,2.9639935484775943,1.7130676870125847,2.9573822321158674,1.7130676870125847,2.960617470750229}",18,6
7102013096890644952,"{0.026260998,0.033351678,0.028999897,0.025151512,0.030044726,0.024644558,0.024242404,0.030800166,0.023816632}","{0.030575943,0.02901662,0.024752866}","{0.054517535,0.060181956,0.059467788,0.058599793,0.072355739,0.067974819,0.060152888,0.060512187,0.059298049}","{0.036180111,0.026915898,0.026572302}","{0.7940526833092408,0.5611957024999293,0.19440791496571228,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486}","{0.7940526833092408,0.7940526833092408,0.7940526833092408}",9,3
-298514962653462987,"{0.241462986,0.20297653,0.239622986,0.187460546,0.229215065,0.189209172,0.231311016,0.212505795,0.240621021}","{0.237891352,0.223637573,0.208150048}","{0.074757311,0.065170982,0.064206614,0.066922745,0.074925076,0.062320132,0.075143563,0.066902595,0.074330316}","{0.034837422,0.028963398,0.051483276}","{0.710198325130038,0.1840423641208336,0.03261625930198451,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733}","{0.7100724686565013,0.7074804306558132,0.7076314539414948}",9,3
-1723239386245354632,"{0.176157666,0.087121093,0.212449562,0.07405662,0.301687777,0.066503436,0.124506736,0.211091997,0.270300126}","{0.138446655,0.161735211,0.089759943}","{2.694192936,2.584660308,2.682077658,2.644936022,2.685224791,2.823955219,2.6305633029999997,2.753035181,2.6960998959999998}","{0.23215066,0.243557146,0.292917548}","{1.5909685539892342,0.9295648697351303,1.4439591094730482,1.0530668170625415,1.2055676744813637,0.9078251353755927,1.1816596002306199,1.2855343792335894,0.950682316975555}","{1.5833953683652344,1.5021958220468221,1.3783694595350358}",9,3
7221379846823333251,"{13.265398601,6.138073368,12.766835981,10.179321666,5.971791771,9.971443845,5.029047855,9.644887562,4.625406346}","{13.222563745,14.949845631,13.18607893}","{0.074935737,0.061325253,0.060940923,0.063324901,0.061107347,0.062423338,0.066416111,0.068034267,0.061616695}","{0.028447846,0.030013616,0.026294896}","{1.3398669129373066,0.7124395119776907,0.5658010755503671,0.5021376502983593,0.27881103445014854,0.39603438157089776,0.20138134984483586,0.32967050760634703,0.18057871345257284}","{1.3367139226071094,1.3188467452312524,1.3361929189050494}",9,3
299267792258938541,"{0.583759882,0.678917205,0.533649234,0.513591128,0.547547585,0.524274118,0.54170897,0.492501267,0.572461}","{0.508283416,0.650165563,0.586143965}","{0.065108285,0.060432277,0.063576364,0.057474463,0.055851357,0.05774792,0.073311059,0.063992256,0.068313987}","{0.027296153,0.029154473,0.029237474}","{2.5643505142145413,1.6698263464491883,0.8415045506562452,0.007418410701362362,0.007418410701362362,0.007418410701362362,0.007418410701362362,0.007418410701362362,0.007418410701362362}","{2.5675013835307574,2.7549262791379765,2.7549262791379765}",9,3
-2202723705874175045,"{2.576222852,1.387063232,1.134745803,1.367560685,1.628243442,4.445826428,1.746687796,2.8907166909999997,5.165960156}","{2.636246789,3.963932664,2.469016606}","{0.130504182,0.129414109,0.121169874,0.124137077,0.132396493,0.127166596,0.124984222,0.125486345,0.152437395}","{0.058713256,0.053954308,0.051518367}","{2.56168895156124,1.4645593294877202,0.6557654621107865,0.584768752575487,0.9550556707635032,0.5358703578496042,0.823452901262156,0.7387874587707043,0.6660545080748629}","{2.5540740700847384,2.552425874802814,2.552425874802814}",9,3
316739818532851506,"{1.599031513,1.345781708,1.33027411,1.935612169,1.4104835119999999,1.436085293,1.376713096,1.339823996,1.340435368}","{1.663598369,1.787766928,1.615638373}","{0.093887743,0.073946158,0.074759475,0.065582966,0.078210475,0.085990833,0.082995573,0.067758185,0.06799547}","{0.032666837,0.035604978,0.033759106}","{0.7825074196297968,0.49440773530687326,0.1403182580171253,0.006543501980910212,0.006543501980910212,0.006543501980910212,0.006543501980910212,0.006543501980910212,0.006543501980910212}","{0.7598610987708787,0.760059968799612,0.7579948201932276}",9,3
5596001239447068866,"{0.21966968,0.232818771,0.220836822,0.221429698,0.232693851,0.231989643,0.224607232,0.223559908,0.224620629}","{0.215932062,0.206997777,0.200994918}","{0.018062557,0.017743158,0.015989461,0.015608731,0.015617929,0.016356786,0.016364211,0.015267709,0.014357298}","{0.008641032,0.009470719,0.009142498}","{1.3936150411717252,0.009815252971365318,0.009815252971365318,0.009815252971365318,0.009815252971365318,0.009815252971365318,0.009815252971365318,0.009815252971365318,0.009815252971365318}","{1.3799231202307853,1.3572016883154099,1.3721351926800096}",9,3
-4608735958739764665,"{4.25545503,12.246320447,4.204166349,4.375900909,4.442052633,4.607826074,4.540231436,4.632971181,4.582264231}","{4.253389931,4.643622205,4.324776842}","{0.013145344,0.013610766,0.013991046,0.01291267,0.015409582,0.014205214,0.0150286,0.014354432,0.012792901}","{0.008092002,0.008159282,0.009825518}","{1.9779010350527455,0.883740882593475,0.05120867110340268,0.012656710941059931,0.012656710941059931,0.012656710941059931,0.012656710941059931,0.012656710941059931,0.012656710941059931}","{1.978573646757589,1.9721620080345408,1.9728345039032373}",9,3
3199076743843001296,"{14.378668346,73.329553768,116.338311848,80.009412213,4.289297201,13.953820917,4.33572748,13.723485441,4.2546538,7.732397918,4.199743084,7.53997498,4.020689949,7.339551264,3.985105848,7.449570782,4.250885416,7.353013042}","{13.700175038,22.17110023,16.13505867,27.083177699,13.377681495,21.926350829}","{0.032519761,0.046646567,0.033168532,0.037571285,0.034630575,0.042949159,0.034297349,0.028799265,0.034872609,0.035345545,0.051359906,0.038811425,0.034773592,0.045883436,0.035240054,0.037023169,0.035846507,0.053701568}","{0.017525838,0.019490976,0.02183785,0.020271705,0.017097478,0.018335522}","{3.8458028294939526,1.7122313923079935,1.0371781814993548,0.8243852585138481,0.07454938822347737,1.17100007808764,0.04330285475680809,0.3131090584488793,0.01576807801184342,0.0253376408072164,0.01576807801184342,0.02306310905370565,0.013495100251163752,0.02306310905370565,0.013495100251163752,0.02306310905370565,0.011136329752235816,0.020704338554777713}","{3.8446119795115643,3.292541069708294,3.8444722547682617,3.2752483979669487,3.8444722547682617,3.2900290533901106}",18,6
6624959997497422723,"{0.767394468,0.679733887,0.306519709,0.223725429,0.231889363,0.220847344,0.231016567,0.223955067,0.222804577}","{0.780784625,0.790607778,0.258432162}","{2.806522249,2.7734919749999998,2.793738007,2.810116748,2.7401786230000003,2.858880172,2.769356165,2.822795338,2.802248575}","{0.255186965,0.278215983,0.233722255}","{2.8362046351433325,1.4859329275649846,1.175737034229518,0.5516969734036693,0.73313761807688,0.03287882500581401,0.03287882500581401,0.01728401315549999,0.01728401315549999}","{2.8514538196268697,2.4059401626930943,1.8194609084408322}",9,3
-7994933085961275538,"{0.081395244,0.044065009,0.127076885,0.045151151,0.045063416,0.05842803,0.043152255,0.041100913,0.043130411}","{0.066533577,0.071197344,0.058302336}","{0.249284298,0.243396141,0.240452155,0.242343636,0.244886852,0.244075018,0.260518317,0.258632818,0.239353037}","{0.109037794,0.142937592,0.114332428}","{1.2309663549421606,0.4488591341241532,0.7511426682024801,0.1376098274144958,0.10889862967408026,0.07445368912472743,0.07445368912472743,0.0055638080260217715,0.0055638080260217715}","{1.2250964623525946,1.2248055519794314,1.2248055519794314}",9,3
