queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
988535410010893112,"{0.105662765,0.12723943,0.121195215,0.108269309,0.115890087,0.125638178,0.131961943,0.130085662,0.123430985,0.104687865,0.116556315,0.118552326,0.139638006,0.139306267,0.11590105,0.133746146,0.133243657,0.118781008}","{0.089259995,0.131719988,0.100673209}","{0.031407604,0.030056489,0.029714686,0.030680056,0.030553503,0.031643332,0.032770836,0.028785969,0.029506861,0.026785525,0.030509594,0.030743918,0.031129904,0.029531574,0.030819023,0.029537731,0.031765401,0.030440339}","{0.013964217,0.011792139,0.015770152}","{1.4500261690632636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}","{1.1824487410687112,1.1903124723701435,1.1776882269701157}",18,3
-6651533820180303979,"{0.266404082,0.318934604,0.295890205,0.26551564,0.302436415,0.301420834,0.279675212,0.308922504,0.300116536,0.263254215,0.298134057,0.272446984,0.269590322,0.278316002,0.329960364,0.307684408,0.302234348,0.281387084}","{0.409757915,1.964242812,0.374034909}","{0.029676416,0.032906678,0.033926017,0.033050055,0.034659713,0.034084523,0.036375314,0.033702439,0.032461458,0.029968968,0.038654145,0.03675647,0.03543544,0.030639975,0.02883812,0.035760798,0.029686401,0.031437938}","{0.0222384,0.02867372,0.018353786}","{0.7257946945250386,0.20506718324030263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}","{0.7110350415064464,0.6622139537460571,0.7097447244128476}",18,3
-3414057395363075461,"{0.195566013,0.197697876,0.169770884,0.176334278,0.175120221,0.177376572,0.173408818,0.201177162,0.176003446,0.18029081,0.192656649,0.210499514,0.181145358,0.187613509,0.178337594,0.189860384,0.173200108,0.187234298}","{0.177465398,0.162668753,0.168066942}","{0.017415423,0.018718208,0.015661045,0.015583921,0.015762718,0.01600864,0.017320122,0.018561515,0.015071306,0.017778928,0.018736184,0.015501268,0.015146128,0.015984996,0.018076566,0.01489802,0.015808704,0.016115341}","{0.008501932,0.009326489,0.008628412}","{1.2174700005529062,0.0901033573573699,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0.013087003961820423,0,0,0,0,0,0,0,0,0}","{0.936515385040697,0.9142991861305755,0.9535934648818055}",18,3
3350265702090035455,"{50.738227363,74.303097237,100.927331499,126.051424097,184.232350495,10.93721247,11.321129789,11.087106891,11.068830997,11.00186497,11.176425353,10.723133085,13.612540702,11.12106428,11.113145931,10.998793977,11.217469676,11.052996858}","{55.482810873,63.287769991,49.566358756}","{0.055494469,0.059850303,0.058596195,0.058417698,0.057300986,0.0639997,0.059350134,0.060722578,0.06624476,0.065099764,0.061465907,0.04925209,0.060830835,0.060252091,0.054251352,0.058779355,0.058073151,0.060622204}","{0.031860277,0.034561482,0.028080711}","{3.3374510284808725,1.7162104431712808,1.950949255820369,1.6409808871914573,1.3433765020887711,0.006543555303668569,0.006543501980910212,0.006543501980910212,0.006543501980910212,0,0,0,0,0,0,0,0,0}","{3.329696481697031,3.3198284019547013,3.323802846442218}",18,3
-917204397272063480,"{29.881458319,28.732112791,20.832292041,72.869537849,6.073895381,5.856815862,5.838148655,5.975344514,6.03483067,5.913620014,5.948123595,5.962990129,5.955114836,6.402079926,5.942952195,6.328538552,6.372655155,6.239437152}","{29.259874893,43.092856134,28.442776082}","{0.02913733,0.03191713,0.036915845,0.032552942,0.038156897,0.034190916,0.029387752,0.033552219,0.032564034,0.036734307,0.036813354,0.033819523,0.034560598,0.03303056,0.033551737,0.030256481,0.040033442,0.041615298}","{0.01694399,0.018380046,0.016774795}","{3.24980586129619,1.4692319016078967,1.8622398899191588,1.01782245134524,0.08392225081619026,0.07946027465286959,0.07617004131003072,0.07445760542327357,0.05875045365571693,0.0550729224042836,0.0550729224042836,0.0531496937376115,0.05116540009295023,0.049116036166513305,0.049116036166513305,0.04699718918678322,0.017621962358924756,0.01542875487072036}","{3.257957765002839,3.252822140158688,3.261134241011108}",18,3
1693774000992751456,"{0.066644399,0.232885755,0.708665817,0.217815992,0.101019843,0.33027055,0.04682552,0.204359926,0.653139931,0.831453278,0.059788605,0.076428751,0.103274839,0.145535868,0.104253856,0.181619565,0.074640443,0.96312696}","{0.051765821,0.054569113,0.101097844}","{5.458814936,5.5210752450000005,5.621212553,5.628842219,5.464803407,5.720053159,5.378082644,5.594218617,5.559819224,5.2748533349999995,5.609017292,5.730181766,5.88448706,5.509965242,5.519603137,5.405093701,5.333166846,5.495668459}","{0.32519249,0.344792523,0.37468832}","{1.3473218060524401,1.550229984607559,1.8381502436408712,1.119089027573323,0.631685808737329,1.2377825785763452,0.3636678661222973,0.9874511603311323,1.33326747218599,1.107034748930448,0.71250551714024,0.05337972297175203,0.042535886336501585,0.042363323164234246,0.04219188418999229,1.0120578975475942,0.5509960097511901,2.1987943138086496}","{1.3473218060524401,1.3471197849599656,1.869219181199266}",18,3
3759324545287071861,"{0.036920151,0.038479624,0.069135773,0.035433006,0.048137326,0.12543233,0.035927177,0.046567853,0.050894309,0.035360013,0.037495785,0.04947693,0.035424607,0.049399627,0.061889136,0.031910558,0.045006423,0.06391156,0.034093273}","{0.055353854,0.01640586,0.037910094,0.047475737,0.020169307,0.035028178,0.040246132,0.01908664,0.037153349}","{0.01370703,0.01530672,0.012588548,0.016228901,0.015891065,0.014322981,0.01289201,0.024849754,0.011629178,0.014551167,0.012259778,0.013831896,0.014636949,0.014445426,0.012874328,0.012919901,0.013908423,0.011342377,0.011957079}","{0.008855593,0.007708696,0.008159928,0.008849653,0.007447714,0.008444516,0.007945059,0.0093415,0.007898731}","{0.00101575459982958,0.00101575459982958,0.00101575459982958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}","{0.9665923810539927,1.0910626829030636,0.8703995694800497,0.964618310368159,1.094359073466912,0.8664491363727245,0.9611873714606275,1.094359073466912,0.8664491363727245}",54,9
816913887554954199,"{3.392864657,0.499348141,0,3.627216876,0.488457968,3.407709786,0.449044311,3.6355241830000002,0.487015901,3.57246978,0.505352167,3.575877898,0.491610045,3.438265557,0.520144031,3.398119368,0.507280738,3.390359251,0.506107622}","{0.515512615,3.633896704,0.717527199,4.214152529,0.462927557,3.467738733}","{0.05447225,0.054031747,0,0.058797322,0.053424261,0.061863492,0.059079913,0.084699286,0.052865843,0.05866068,0.059168392,0.060790649,0.053328885,0.076131548,0.053492401,0.058988695,0.052943241,0.054697093,0.053256033}","{0.037016565,0.03935556,0.034284576,0.031177597,0.027859575,0.051969278}","{0.0687442451196662,0.055898262871039,0,0.08263830822717359,0.053006801598783175,0.08124601903327201,0.05122594350156632,0.07998333124363645,0.049833603256672174,0.07885150539756344,0.04714644744415632,0.07466824482182491,0.04400443496109985,0.07375280603691162,0.04258572290171551,0.07292216850962835,0.0406803069314681,0.07217835297789184,0.03938389577253151}","{1.7118613104823526,2.9639935484775943,1.7130676870125847,2.9573822321158674,1.7130676870125847,2.960617470750229}",36,6
7102013096890644952,"{0.026260998,0.033351678,0.028999897,0.025151512,0.030044726,0.024644558,0.024242404,0.030800166,0.023816632,0.026731425,0.026124945,0.025809101,0.025565978,0.032803504,0.025852344,0.028399487,0.025347409,0.02533295}","{0.030575943,0.02901662,0.024752866}","{0.054517535,0.060181956,0.059467788,0.058599793,0.072355739,0.067974819,0.060152888,0.060512187,0.059298049,0.061177252,0.060709681,0.063459899,0.057075081,0.061694378,0.057395364,0.070056663,0.056022401,0.054546611}","{0.036180111,0.026915898,0.026572302}","{0.7940526833092408,0.5611957024999293,0.19440791496571228,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486,0.011157177565710486}","{0.7940526833092408,0.7940526833092408,0.7940526833092408}",18,3
-298514962653462987,"{0.241462986,0.20297653,0.239622986,0.187460546,0.229215065,0.189209172,0.231311016,0.212505795,0.240621021,0.232567641,0.217253034,0.23527271,0.238703157,0.218802182,0.242287773,0.236528727,0.244425505,0.246355263}","{0.237891352,0.223637573,0.208150048}","{0.074757311,0.065170982,0.064206614,0.066922745,0.074925076,0.062320132,0.075143563,0.066902595,0.074330316,0.074688142,0.0781104,0.080091974,0.079304043,0.068064017,0.06740079,0.070020229,0.068797061,0.075840898}","{0.034837422,0.028963398,0.051483276}","{0.710198325130038,0.1840423641208336,0.03261625930198451,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733,0.009116077839697733}","{0.7100724686565013,0.7074804306558132,0.7076314539414948}",18,3
-1723239386245354632,"{0.176157666,0.087121093,0.212449562,0.07405662,0.301687777,0.066503436,0.124506736,0.211091997,0.270300126,0.225447596,0.109290803,0.360289887,0.291206771,0.338318615,0.105725649,0.721645059,0.109224903,0.320389575}","{0.138446655,0.161735211,0.089759943}","{2.694192936,2.584660308,2.682077658,2.644936022,2.685224791,2.823955219,2.6305633029999997,2.753035181,2.6960998959999998,2.636606982,2.62130685,2.84717383,2.5918717239999998,2.756388801,2.643932072,2.687770957,2.701705469,2.604593944}","{0.23215066,0.243557146,0.292917548}","{1.5909685539892342,0.9295648697351303,1.4439591094730482,1.0530668170625415,1.2055676744813637,0.9078251353755927,1.1816596002306199,1.2855343792335894,0.950682316975555,0.792349449567174,0.009855173160930566,1.1138637021698,0.7165038104451565,1.0405458335860864,0.0075867508371990555,0.7943412285030471,0.018390716329923323,0.866234143319583}","{1.5833953683652344,1.5021958220468221,1.3783694595350358}",18,3
